boyd2
[0, 1, 0]:MoveForwardAction:[0, 2, 0]:1.0
[0, 1, 0]:MoveForwardAction:[0, 1, 0]:0.0
[0, 1, 0]:TurnLeftAction:[0, 1, 1]:1.0
[0, 1, 0]:TurnLeftAction:[0, 1, 0]:0.0
[0, 1, 0]:TurnRightAction:[0, 1, 3]:1.0
[0, 1, 0]:TurnRightAction:[0, 1, 0]:0.0
[0, 1, 0]:StopAction:[0, 1, 0]:1.0
[0, 1, 1]:MoveForwardAction:[0, 1, 1]:1.0
[0, 1, 1]:TurnLeftAction:[0, 1, 2]:1.0
[0, 1, 1]:TurnLeftAction:[0, 1, 1]:0.0
[0, 1, 1]:TurnRightAction:[0, 1, 1]:0.0
[0, 1, 1]:TurnRightAction:[0, 1, 0]:1.0
[0, 1, 1]:StopAction:[0, 1, 1]:1.0
[0, 1, 2]:MoveForwardAction:[0, 1, 2]:1.0
[0, 1, 2]:TurnLeftAction:[0, 1, 3]:1.0
[0, 1, 2]:TurnLeftAction:[0, 1, 2]:0.0
[0, 1, 2]:TurnRightAction:[0, 1, 2]:0.0
[0, 1, 2]:TurnRightAction:[0, 1, 1]:1.0
[0, 1, 2]:StopAction:[0, 1, 2]:1.0
[0, 1, 3]:MoveForwardAction:[1, 1, 3]:1.0
[0, 1, 3]:MoveForwardAction:[0, 1, 3]:0.0
[0, 1, 3]:TurnLeftAction:[0, 1, 3]:0.0
[0, 1, 3]:TurnLeftAction:[0, 1, 0]:1.0
[0, 1, 3]:TurnRightAction:[0, 1, 3]:0.0
[0, 1, 3]:TurnRightAction:[0, 1, 2]:1.0
[0, 1, 3]:StopAction:[0, 1, 3]:1.0
[0, 2, 0]:MoveForwardAction:[0, 3, 0]:1.0
[0, 2, 0]:MoveForwardAction:[0, 2, 0]:0.0
[0, 2, 0]:TurnLeftAction:[0, 2, 1]:1.0
[0, 2, 0]:TurnLeftAction:[0, 2, 0]:0.0
[0, 2, 0]:TurnRightAction:[0, 2, 3]:1.0
[0, 2, 0]:TurnRightAction:[0, 2, 0]:0.0
[0, 2, 0]:StopAction:[0, 2, 0]:1.0
[0, 2, 1]:MoveForwardAction:[0, 2, 1]:1.0
[0, 2, 1]:TurnLeftAction:[0, 2, 2]:1.0
[0, 2, 1]:TurnLeftAction:[0, 2, 1]:0.0
[0, 2, 1]:TurnRightAction:[0, 2, 1]:0.0
[0, 2, 1]:TurnRightAction:[0, 2, 0]:1.0
[0, 2, 1]:StopAction:[0, 2, 1]:1.0
[0, 2, 2]:MoveForwardAction:[0, 2, 2]:0.0
[0, 2, 2]:MoveForwardAction:[0, 1, 2]:1.0
[0, 2, 2]:TurnLeftAction:[0, 2, 3]:1.0
[0, 2, 2]:TurnLeftAction:[0, 2, 2]:0.0
[0, 2, 2]:TurnRightAction:[0, 2, 2]:0.0
